Geneid	Chr	Start	End	Length
XP_003658379.1	NC_016472;NC_016472;NC_016472;NC_016472	258394;258842;259125;259477	258786;259050;259414;259574	990
XP_003658380.1	NC_016472;NC_016472	260485;260768	260690;260876	315
XP_003658381.1	NC_016472	261109	261534	426
XP_003658382.1	NC_016472;NC_016472	271034;273790	271141;273870	189
XP_003658383.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	328955;329219;329345;329498;329630	329099;329316;329482;329605;329719	579
XP_003658384.1	NC_016472	331915	332076	162
XP_003658385.1	NC_016472	352647	352799	153
XP_003658386.1	NC_016472	364297	364449	153
XP_003658387.1	NC_016472	409518	409736	219
XP_003658388.1	NC_016472	426846	429476	2631
XP_003658389.1	NC_016472;NC_016472	435316;436226	436160;436394	1014
XP_003658390.1	NC_016472;NC_016472	436600;436781	436703;436919	243
XP_003658391.1	NC_016472;NC_016472;NC_016472	437264;437347;437585	437276;437471;438637	1191
XP_003658392.1	NC_016472;NC_016472;NC_016472	439489;440797;441552	440734;441456;441730	2085
XP_003658393.1	NC_016472;NC_016472;NC_016472	443720;444629;444985	444551;444887;445081	1188
XP_003658394.1	NC_016472	446647	448083	1437
XP_003658395.1	NC_016472	448382	448642	261
XP_003658396.1	NC_016472	452564	456121	3558
XP_003658397.1	NC_016472;NC_016472;NC_016472;NC_016472	456929;457263;457614;457887	457168;457550;457812;458020	861
XP_003658398.1	NC_016472;NC_016472	460906;461058	460947;461459	444
XP_003658399.1	NC_016472;NC_016472;NC_016472;NC_016472	461936;463078;463264;463371	463002;463198;463280;463638	1473
XP_003658400.1	NC_016472;NC_016472;NC_016472;NC_016472	465346;465478;465692;465895	465364;465587;465817;466932	1293
XP_003658401.1	NC_016472;NC_016472;NC_016472	467536;467719;468157	467599;467897;468993	1080
XP_003658402.1	NC_016472;NC_016472	469883;470536	470396;471284	1263
XP_003658403.1	NC_016472	476683	477060	378
XP_003658404.1	NC_016472;NC_016472;NC_016472	518303;518684;518944	518589;518853;519371	885
XP_003658405.1	NC_016472	520059	520730	672
XP_003658406.1	NC_016472;NC_016472;NC_016472;NC_016472	522594;522745;523288;526369	522629;522783;526285;526811	3516
XP_003658407.1	NC_016472	529458	530414	957
XP_003658408.1	NC_016472	531174	532565	1392
XP_003658409.1	NC_016472;NC_016472;NC_016472	533164;533435;533672	533353;533592;534085	762
XP_003658410.1	NC_016472;NC_016472	537873;539524	539424;540038	2067
XP_003658411.1	NC_016472;NC_016472;NC_016472;NC_016472	542075;543256;543761;543974	543203;543692;543872;544239	1944
XP_003658412.1	NC_016472;NC_016472	545182;546499	546333;546690	1344
XP_003658413.1	NC_016472	547795	550164	2370
XP_003658414.1	NC_016472;NC_016472;NC_016472;NC_016472	552019;553398;556162;556550	553338;556099;556462;556741	4515
XP_003658415.1	NC_016472;NC_016472	560579;560780	560655;564167	3465
XP_003658416.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	566431;566794;567074;567207;567378;567580;567916;568219;568613	566442;566894;567144;567312;567488;567858;568165;568532;568961	1593
XP_003658417.1	NC_016472;NC_016472;NC_016472;NC_016472	570940;571333;572386;572824	571230;572271;572717;572869	1608
XP_003658418.1	NC_016472;NC_016472;NC_016472	576832;578040;578534	577978;578393;578556	1524
XP_003658419.1	NC_016472	578973	579353	381
XP_003658420.1	NC_016472	580471	581733	1263
XP_003658421.1	NC_016472;NC_016472;NC_016472;NC_016472	584115;584456;584657;585487	584389;584600;585427;585630	1335
XP_003658422.1	NC_016472;NC_016472;NC_016472;NC_016472	593356;593593;594009;594166	593516;593694;594060;594207	357
XP_003658423.1	NC_016472;NC_016472;NC_016472	601262;601765;602037	601706;601934;602168	747
XP_003658424.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	605805;605972;606182;606287;607217;607920	605908;606127;606224;607165;607851;608112	2010
XP_003658425.1	NC_016472	614182	615975	1794
XP_003658426.1	NC_016472;NC_016472	616574;617566	617484;618394	1740
XP_003658427.1	NC_016472;NC_016472	619782;620456	620263;621122	1149
XP_003658428.1	NC_016472;NC_016472	621457;621871	621745;621908	327
XP_003658429.1	NC_016472;NC_016472;NC_016472	622729;622957;623336	622786;623259;624969	1995
XP_003658430.1	NC_016472;NC_016472	629953;631489	631410;631719	1689
XP_003658431.1	NC_016472;NC_016472;NC_016472;NC_016472	633001;634775;635381;635582	634715;635318;635526;635855	2679
XP_003658432.1	NC_016472;NC_016472	638980;639267	639159;640109	1023
XP_003658433.1	NC_016472	642840	644159	1320
XP_003658434.1	NC_016472;NC_016472;NC_016472	646120;646619;646921	646478;646862;646962	645
XP_003658435.1	NC_016472;NC_016472	652199;652771	652713;653362	1107
XP_003658436.1	NC_016472;NC_016472	655829;656122	656009;656609	669
XP_003658437.1	NC_016472;NC_016472;NC_016472;NC_016472	657622;657773;658314;659092	657711;658240;659013;659297	1464
XP_003658438.1	NC_016472;NC_016472;NC_016472;NC_016472	661143;661722;662145;662585	661579;662027;662485;662754	1254
MYCTH_t1	NC_016472	664817	664888	72
XP_003658439.1	NC_016472;NC_016472	665351;665713	665618;671864	6420
XP_003658440.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	672888;673001;673115;673243;673328	672941;673049;673180;673259;673330	189
XP_003658441.1	NC_016472	673794	674396	603
XP_003658442.1	NC_016472;NC_016472	675157;675867	675835;676744	1557
XP_003658443.1	NC_016472	677240	677932	693
XP_003658444.1	NC_016472;NC_016472	678385;679376	679322;680051	1614
XP_003658445.1	NC_016472;NC_016472	680642;681151	681059;681380	648
XP_003658446.1	NC_016472;NC_016472;NC_016472	684501;685399;686673	685328;686618;686865	2241
XP_003658447.1	NC_016472	687161	687526	366
XP_003658448.1	NC_016472;NC_016472;NC_016472;NC_016472	689253;689479;690205;690412	689421;690114;690248;690510	948
XP_003658449.1	NC_016472;NC_016472	693905;694000	693943;695208	1248
XP_003658450.1	NC_016472	696067	697431	1365
XP_003658451.1	NC_016472;NC_016472	698116;698281	698206;699419	1230
XP_003658452.1	NC_016472	700054	701790	1737
XP_003658453.1	NC_016472;NC_016472;NC_016472;NC_016472	702503;702918;703170;703313	702805;703083;703220;704190	1398
XP_003658454.1	NC_016472;NC_016472;NC_016472;NC_016472	704369;704575;704938;705241	704486;704761;705121;705363	612
XP_003658455.1	NC_016472;NC_016472	706512;706665	706514;707102	441
XP_003658456.1	NC_016472;NC_016472;NC_016472	707589;708128;708509	708016;708339;708561	693
XP_003658457.1	NC_016472;NC_016472;NC_016472	710038;710193;710643	710094;710480;710843	546
XP_003658458.1	NC_016472;NC_016472;NC_016472;NC_016472	712568;712747;712939;714333	712671;712837;714240;714440	1605
XP_003658459.1	NC_016472;NC_016472;NC_016472	715346;715748;716067	715537;715960;716300	639
XP_003658460.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	717020;717319;717586;719087;719377;719654	717121;717527;719009;719289;719493;719776	2178
XP_003658461.1	NC_016472;NC_016472	720501;722254	722198;722517	1962
XP_003658462.1	NC_016472;NC_016472;NC_016472;NC_016472	724206;724440;725699;727151	724358;725631;727027;727698	3222
XP_003658463.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	729002;729182;729518;731980;733546;734641	729106;729445;731313;733423;734580;734778	4782
XP_003658464.1	NC_016472	736384	736680	297
XP_003658465.1	NC_016472;NC_016472;NC_016472	737414;738663;738783	738604;738722;738821	1290
XP_003658466.1	NC_016472;NC_016472	739442;741270	741000;741285	1575
XP_003658467.1	NC_016472;NC_016472;NC_016472;NC_016472	743669;744080;745090;750474	743898;744788;750399;750845	6621
XP_003658468.1	NC_016472;NC_016472	752418;753065	752977;755210	2706
XP_003658469.1	NC_016472;NC_016472;NC_016472;NC_016472	758361;758656;759477;759685	758595;759419;759626;759996	1461
XP_003658470.1	NC_016472;NC_016472;NC_016472	761969;762190;762647	761971;762520;762681	369
XP_003658471.1	NC_016472;NC_016472;NC_016472	767446;767559;768447	767488;767612;768886	537
XP_003658472.1	NC_016472;NC_016472;NC_016472;NC_016472	768990;769190;769414;769518	769028;769333;769427;772020	2700
XP_003658473.1	NC_016472;NC_016472;NC_016472;NC_016472	773125;773349;773607;773764	773180;773456;773666;773791	252
XP_003658474.1	NC_016472;NC_016472;NC_016472	776271;776722;777625	776415;777512;777660	972
XP_003658475.1	NC_016472;NC_016472;NC_016472	778864;779043;780002	778880;779921;780242	1137
XP_003658476.1	NC_016472;NC_016472	781889;782196	782138;782923	978
XP_003658477.1	NC_016472;NC_016472;NC_016472	784635;784881;785579	784810;785516;785618	852
XP_003658478.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	787816;787961;788318;788776;788892;789173;789549	787872;788038;788726;788837;789117;789471;789842	1425
XP_003658479.1	NC_016472;NC_016472;NC_016472;NC_016472	790602;790786;791026;791265	790623;790970;791202;791423	543
XP_003658480.1	NC_016472	792113	792859	747
XP_003658481.1	NC_016472;NC_016472;NC_016472	793970;794169;794326	794098;794256;796379	2271
XP_003658482.1	NC_016472;NC_016472	797153;797771	797487;798047	612
XP_003658483.1	NC_016472	799745	800845	1101
XP_003658484.1	NC_016472;NC_016472;NC_016472	802186;802320;802812	802256;802515;802835	291
XP_003658485.1	NC_016472;NC_016472	803575;803748	803688;805316	1683
XP_003658486.1	NC_016472;NC_016472;NC_016472;NC_016472	806450;806646;806807;807068	806583;806716;806990;807119	441
XP_003658487.1	NC_016472	808293	809750	1458
XP_003658488.1	NC_016472;NC_016472;NC_016472	810552;810735;810845	810671;810783;811605	930
XP_003658489.1	NC_016472;NC_016472;NC_016472	812119;812374;812886	812290;812776;814206	1896
XP_003658490.1	NC_016472	815569	816948	1380
XP_003658491.1	NC_016472	818683	820317	1635
XP_003658492.1	NC_016472;NC_016472	822171;822469	822399;823037	798
XP_003658493.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	824813;825194;825322;825690;826277	824824;825252;825632;826193;826755	1365
XP_003658494.1	NC_016472;NC_016472;NC_016472;NC_016472	827622;828278;829539;829671	828170;829477;829605;829681	1827
XP_003658495.1	NC_016472;NC_016472;NC_016472;NC_016472	830407;831555;831681;832230	831499;831624;832167;832664	2085
XP_003658496.1	NC_016472;NC_016472;NC_016472	833259;833429;833617	833356;833556;833621	231
XP_003658497.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	834567;835165;835385;835571;835830;836233;837276	834931;835330;835512;835774;836175;837166;837403	2271
XP_003658498.1	NC_016472	839381	840676	1296
XP_003658499.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	842468;842613;842843;843218;845030;845580	842563;842783;843163;844971;845529;845668	2931
XP_003658500.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	846798;846999;847128;848132;848584	846940;847035;848017;848528;848712	1596
XP_003658501.1	NC_016472;NC_016472	849482;849785	849652;852811	3198
XP_003658502.1	NC_016472;NC_016472;NC_016472	854211;855223;856207	855110;856136;856777	2385
XP_003658503.1	NC_016472;NC_016472	861231;862007	861777;862155	696
XP_003658504.1	NC_016472;NC_016472	863080;866254	866124;866550	3342
XP_003658505.1	NC_016472	868123	868350	228
XP_003658506.1	NC_016472;NC_016472;NC_016472	871322;872220;873361	872086;873266;873639	2091
XP_003658507.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	878369;878922;879043;879261;879536;879613;879745	878654;879002;879194;879467;879577;879622;879809	843
XP_003658508.1	NC_016472;NC_016472;NC_016472	886925;887390;889278	887175;889094;889514	2193
XP_003658509.1	NC_016472;NC_016472	891368;891652	891551;892082	615
XP_003658510.1	NC_016472;NC_016472	892322;892811	892619;893493	981
XP_003658511.1	NC_016472;NC_016472;NC_016472	893808;893902;894175	893841;893993;894312	264
XP_003658512.1	NC_016472	896615	897868	1254
XP_003658513.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	899651;900100;900522;900816;900991	899972;900429;900612;900930;901152	1020
XP_003658514.1	NC_016472	956877	958325	1449
XP_003658515.1	NC_016472	964685	967573	2889
XP_003658516.1	NC_016472;NC_016472	968243;968456	968285;971112	2700
XP_003658517.1	NC_016472;NC_016472;NC_016472;NC_016472	971824;971924;972464;973011	971866;972364;972934;973186	1131
XP_003658518.1	NC_016472;NC_016472	973902;975288	975189;975703	1704
XP_003658519.1	NC_016472;NC_016472;NC_016472	976699;976928;977148	976840;976945;977500	513
XP_003658520.1	NC_016472;NC_016472;NC_016472;NC_016472	979431;979899;980343;980980	979815;980264;980909;981113	1452
XP_003658521.1	NC_016472;NC_016472	982786;984793	984726;985074	2223
XP_003658522.1	NC_016472	985312	985644	333
XP_003658523.1	NC_016472;NC_016472	987574;988312	988081;990014	2211
XP_003658524.1	NC_016472;NC_016472;NC_016472;NC_016472	990734;990850;992417;993013	990774;992356;992483;993032	1635
XP_003658525.1	NC_016472;NC_016472	994542;995687	995630;997198	2601
XP_003658526.1	NC_016472	997410	999836	2427
XP_003658527.1	NC_016472;NC_016472;NC_016472	1000228;1000397;1000711	1000311;1000633;1001100	711
XP_003658528.1	NC_016472	1001215	1002873	1659
XP_003658529.1	NC_016472;NC_016472	1003560;1006650	1006591;1007301	3684
XP_003658530.1	NC_016472;NC_016472;NC_016472	1008209;1008841;1010286	1008741;1010218;1010318	1944
XP_003658531.1	NC_016472;NC_016472	1011323;1011626	1011526;1011769	348
XP_003658532.1	NC_016472	1012696	1013901	1206
XP_003658533.1	NC_016472	1014580	1015389	810
XP_003658534.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1017495;1017696;1017858;1018002;1018117	1017615;1017766;1017903;1018034;1018292	447
XP_003658535.1	NC_016472;NC_016472	1019412;1020711	1020577;1021116	1572
XP_003658536.1	NC_016472;NC_016472	1023119;1023989	1023920;1024119	933
XP_003658537.1	NC_016472;NC_016472;NC_016472;NC_016472	1024671;1024974;1025604;1026281	1024797;1025537;1025938;1026943	1689
XP_003658538.1	NC_016472	1028601	1029137	537
XP_003658539.1	NC_016472;NC_016472	1029440;1029832	1029703;1030428	861
XP_003658540.1	NC_016472;NC_016472	1031770;1032471	1032256;1032541	558
XP_003658541.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1033393;1033580;1034835;1034974;1035113	1033501;1034772;1034911;1035048;1035134	1476
XP_003658542.1	NC_016472;NC_016472	1036188;1039198	1039145;1041504	5265
XP_003658543.1	NC_016472;NC_016472;NC_016472	1042734;1043128;1043690	1042991;1043460;1044070	972
XP_003658544.1	NC_016472;NC_016472	1044641;1045651	1045559;1046144	1413
XP_003658545.1	NC_016472;NC_016472	1046666;1047087	1046935;1047191	375
XP_003658546.1	NC_016472;NC_016472	1048052;1051530	1051469;1051591	3480
XP_003658547.1	NC_016472;NC_016472;NC_016472	1053523;1053708;1054715	1053555;1054365;1054794	771
XP_003658548.1	NC_016472;NC_016472;NC_016472	1055656;1055949;1056691	1055892;1056633;1056860	1092
XP_003658549.1	NC_016472;NC_016472;NC_016472	1058808;1058961;1059391	1058910;1059293;1059497	543
XP_003658550.1	NC_016472;NC_016472	1060422;1060589	1060507;1062320	1818
XP_003658551.1	NC_016472;NC_016472;NC_016472	1063559;1063849;1064530	1063623;1064298;1065049	1035
XP_003658552.1	NC_016472;NC_016472;NC_016472	1066988;1068315;1069155	1068231;1069052;1069197	2025
XP_003658553.1	NC_016472;NC_016472	1070825;1073322	1073258;1073962	3075
XP_003658554.1	NC_016472;NC_016472;NC_016472;NC_016472	1074987;1075932;1076928;1079565	1075871;1076857;1079490;1079876	4686
XP_003658555.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1081441;1081627;1081807;1082146;1083328	1081569;1081729;1082040;1083250;1083916	2160
XP_003658556.1	NC_016472;NC_016472	1085001;1086576	1086464;1086845	1734
XP_003658557.1	NC_016472;NC_016472;NC_016472	1087351;1087459;1087871	1087383;1087561;1088424	690
XP_003658558.1	NC_016472;NC_016472;NC_016472	1088909;1089020;1089609	1088941;1089529;1090544	1479
XP_003658559.1	NC_016472	1090916	1091677	762
XP_003658560.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1092433;1092524;1092717;1093101;1094419;1094830;1104773	1092465;1092659;1093028;1093613;1094670;1095648;1104807	2100
XP_003658561.1	NC_016472;NC_016472	1133591;1133852	1133815;1134085	459
XP_003658562.1	NC_016472	1143579	1143854	276
XP_003658563.1	NC_016472	1158521	1158817	297
XP_003658564.1	NC_016472;NC_016472;NC_016472	1217701;1217813;1217928	1217748;1217874;1218087	270
XP_003658565.1	NC_016472	1218599	1219165	567
XP_003658566.1	NC_016472	1219917	1221692	1776
XP_003658567.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1222953;1223123;1224021;1224511;1224845	1223029;1223941;1224430;1224765;1224945	1662
XP_003658568.1	NC_016472;NC_016472	1229182;1229297	1229184;1232641	3348
XP_003658569.1	NC_016472	1232700	1233035	336
XP_003658570.1	NC_016472	1233410	1234870	1461
XP_003658571.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1235576;1235688;1235826;1236034;1236253	1235601;1235743;1235930;1236188;1238799	2889
XP_003658572.1	NC_016472;NC_016472;NC_016472;NC_016472	1240518;1240741;1241389;1241678	1240607;1241312;1241620;1241839	1056
XP_003658573.1	NC_016472;NC_016472;NC_016472	1244032;1244148;1244531	1244051;1244472;1244662	477
XP_003658574.1	NC_016472;NC_016472	1246307;1246810	1246744;1247709	1338
XP_003658575.1	NC_016472;NC_016472	1249037;1249287	1249055;1249630	363
XP_003658576.1	NC_016472;NC_016472	1250111;1250253	1250173;1251668	1479
XP_003658577.1	NC_016472;NC_016472	1252571;1253457	1253420;1253665	1059
XP_003658578.1	NC_016472;NC_016472	1254077;1254919	1254602;1255169	777
XP_003658579.1	NC_016472;NC_016472	1256454;1256690	1256548;1257905	1311
XP_003658580.1	NC_016472	1258513	1260354	1842
XP_003658581.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1261136;1263386;1263770;1264037;1265402	1263326;1263702;1263943;1265279;1266120	4644
XP_003658582.1	NC_016472;NC_016472;NC_016472	1266806;1267289;1268929	1267201;1268254;1268973	1407
XP_003658583.1	NC_016472;NC_016472;NC_016472	1270105;1270429;1270834	1270353;1270674;1271157	819
XP_003658584.1	NC_016472;NC_016472;NC_016472	1271616;1271812;1273621	1271724;1273478;1273737	1893
XP_003658585.1	NC_016472;NC_016472;NC_016472;NC_016472	1275241;1275341;1275451;1275655	1275271;1275399;1275595;1275758	339
XP_003658586.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1276989;1277324;1277478;1278219;1278545;1279143	1277075;1277424;1278152;1278477;1279055;1279570	2061
XP_003658587.1	NC_016472	1281467	1282669	1203
XP_003658588.1	NC_016472;NC_016472	1283653;1284843	1284724;1285201	1431
XP_003658589.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1285696;1285777;1285928;1286132;1286303;1286531;1286676;1286844	1285709;1285866;1286059;1286176;1286475;1286619;1286780;1287062	867
XP_003658590.1	NC_016472	1287331	1288059	729
XP_003658591.1	NC_016472;NC_016472;NC_016472	1289002;1289423;1294374	1289358;1294302;1294401	5265
XP_003658592.1	NC_016472;NC_016472	1302858;1303194	1302955;1303548	453
XP_003658593.1	NC_016472	1306357	1306707	351
XP_003658594.1	NC_016472	1309279	1310427	1149
XP_003658595.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1311376;1311707;1312583;1313023;1313254;1313543	1311644;1312516;1312961;1313191;1313431;1313585	1848
XP_003658596.1	NC_016472;NC_016472;NC_016472	1314264;1314515;1314655	1314452;1314586;1315143	750
XP_003658597.1	NC_016472;NC_016472;NC_016472	1315808;1317123;1317527	1317034;1317418;1317749	1746
XP_003658598.1	NC_016472;NC_016472	1318709;1318859	1318750;1319143	327
XP_003658599.1	NC_016472;NC_016472;NC_016472	1319511;1320675;1320933	1320622;1320783;1321637	1926
XP_003658600.1	NC_016472	1322581	1330020	7440
XP_003658601.1	NC_016472;NC_016472;NC_016472;NC_016472	1330731;1331248;1332231;1335075	1331140;1332116;1335006;1335204	4185
XP_003658602.1	NC_016472;NC_016472;NC_016472	1335981;1336623;1337233	1336504;1337109;1337910	1689
XP_003658603.1	NC_016472;NC_016472	1340152;1341064	1340979;1341255	1020
XP_003658604.1	NC_016472	1347048	1347218	171
XP_003658605.1	NC_016472;NC_016472;NC_016472	1354474;1354571;1354738	1354510;1354668;1355121	519
XP_003658606.1	NC_016472;NC_016472	1355849;1356829	1356713;1357352	1389
XP_003658607.1	NC_016472;NC_016472	1363192;1364943	1364879;1365969	2715
XP_003658608.1	NC_016472;NC_016472	1366914;1368332	1368220;1368470	1446
XP_003658609.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1374536;1374663;1374829;1375058;1375167;1375374;1375873	1374591;1374768;1374977;1375114;1375310;1375799;1375903	969
XP_003658610.1	NC_016472;NC_016472;NC_016472	1379572;1380012;1380367	1379815;1380096;1380655	618
XP_003658611.1	NC_016472;NC_016472	1381543;1382602	1382473;1382822	1152
XP_003658612.1	NC_016472;NC_016472;NC_016472;NC_016472	1385395;1385527;1385674;1385942	1385415;1385612;1385826;1386323	642
XP_003658613.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1386925;1387921;1389225;1389983;1390205	1387833;1388641;1389761;1390115;1390313	2409
XP_003658614.1	NC_016472;NC_016472;NC_016472;NC_016472	1391298;1391433;1391596;1391781	1391312;1391510;1391666;1391862	246
XP_003658615.1	NC_016472;NC_016472	1392265;1392956	1392782;1393361	924
XP_003658616.1	NC_016472;NC_016472;NC_016472	1394376;1396261;1397121	1396147;1397057;1397416	2865
XP_003658617.1	NC_016472;NC_016472;NC_016472;NC_016472	1397783;1397877;1398003;1398159	1397818;1397938;1398089;1398219	246
XP_003658618.1	NC_016472;NC_016472;NC_016472;NC_016472;NC_016472	1401970;1402127;1402290;1402502;1402986	1402065;1402225;1402443;1402904;1404069	1836
XP_003658619.1	NC_016472;NC_016472	1405424;1405841	1405741;1406281	759
XP_003658620.1	NC_016472	1408320	1409090	771
XP_003658621.1	NC_016472;NC_016472;NC_016472	1418401;1418774;1419192	1418574;1419138;1420953	2301
